threshold,precision,recall,f1,specificity,tp,tn,fp,fn
0.25,0.40908146300914383,0.660681322369525,0.5052942308926394,0.8005121369440157,3937,22821,5687,2022
0.26,0.43296624371558534,0.6069810370867595,0.5054146580032138,0.833836116177915,3617,23771,4737,2342
0.27,0.43296624371558534,0.6069810370867595,0.5054146580032138,0.833836116177915,3617,23771,4737,2342
0.28,0.43296624371558534,0.6069810370867595,0.5054146580032138,0.833836116177915,3617,23771,4737,2342
0.29,0.4362457170827215,0.5982547407283101,0.5045644328073031,0.8383962396520275,3565,23901,4607,2394
0.3,0.4362457170827215,0.5982547407283101,0.5045644328073031,0.8383962396520275,3565,23901,4607,2394
0.31,0.44302819621475475,0.5774458801812384,0.5013842342998689,0.8482531219306861,3441,24182,4326,2518
0.32,0.4506063496389154,0.5549588857190804,0.4973680252669574,0.858566016556756,3307,24476,4032,2652
0.33,0.46354635463546356,0.518543379761705,0.4895049504950495,0.8745615265890276,3090,24932,3576,2869
0.34,0.48908139325031585,0.45477429098842087,0.471304347826087,0.9006945418829803,2710,25677,2831,3249
0.35,0.48908139325031585,0.45477429098842087,0.471304347826087,0.9006945418829803,2710,25677,2831,3249
0.36,0.48908139325031585,0.45477429098842087,0.471304347826087,0.9006945418829803,2710,25677,2831,3249
0.37,0.48908139325031585,0.45477429098842087,0.471304347826087,0.9006945418829803,2710,25677,2831,3249
0.38,0.5008944543828264,0.4228897466017788,0.45859872611464964,0.9119194612038726,2520,25997,2511,3439
0.39,0.5086005521342111,0.40191307266319853,0.4490063742032246,0.918829802160797,2395,26194,2314,3564
0.4,0.5086005521342111,0.40191307266319853,0.4490063742032246,0.918829802160797,2395,26194,2314,3564
0.41,0.5087159863945578,0.40157744588018124,0.4488417893650942,0.9189350357794304,2393,26197,2311,3566
0.42,0.5299659774928029,0.3398221178050008,0.41411042944785276,0.9370001403114915,2025,26712,1796,3934
0.43,0.5299659774928029,0.3398221178050008,0.41411042944785276,0.9370001403114915,2025,26712,1796,3934
0.44,0.5367152466367713,0.3213626447390502,0.4020153248661698,0.9420162761330153,1915,26855,1653,4044
0.45,0.5611768927161823,0.2624601443195167,0.35764921106791675,0.9570997614704644,1564,27285,1223,4395
0.46,0.5788590604026845,0.2315824802819265,0.3308162531463502,0.9647818156307002,1380,27504,1004,4579
0.47,0.5788590604026845,0.2315824802819265,0.3308162531463502,0.9647818156307002,1380,27504,1004,4579
0.48,0.5788590604026845,0.2315824802819265,0.3308162531463502,0.9647818156307002,1380,27504,1004,4579
0.49,0.5788590604026845,0.2315824802819265,0.3308162531463502,0.9647818156307002,1380,27504,1004,4579
0.5,0.5788590604026845,0.2315824802819265,0.3308162531463502,0.9647818156307002,1380,27504,1004,4579
0.51,0.5788590604026845,0.2315824802819265,0.3308162531463502,0.9647818156307002,1380,27504,1004,4579
0.52,0.613965744400527,0.1564020808860547,0.2492978467299719,0.9794443664936159,932,27922,586,5027
0.53,0.6178694158075602,0.15086423896626952,0.24251416239546802,0.9804967026799495,899,27952,556,5060
0.54,0.6178694158075602,0.15086423896626952,0.24251416239546802,0.9804967026799495,899,27952,556,5060
0.55,0.6178694158075602,0.15086423896626952,0.24251416239546802,0.9804967026799495,899,27952,556,5060
0.56,0.6650185414091471,0.09028360463164961,0.15898345153664303,0.9904938964501193,538,28237,271,5421
0.57,0.6650185414091471,0.09028360463164961,0.15898345153664303,0.9904938964501193,538,28237,271,5421
0.58,0.6877897990726429,0.07467695922134586,0.13472600666061155,0.9929142696786867,445,28306,202,5514
0.59,0.6877897990726429,0.07467695922134586,0.13472600666061155,0.9929142696786867,445,28306,202,5514
0.6,0.6877897990726429,0.07467695922134586,0.13472600666061155,0.9929142696786867,445,28306,202,5514
0.61,0.6884735202492211,0.07417351904681993,0.13391910316618694,0.9929844254244422,442,28308,200,5517
0.62,0.6884735202492211,0.07417351904681993,0.13391910316618694,0.9929844254244422,442,28308,200,5517
0.63,0.6963350785340314,0.06695754321194831,0.12216778934476423,0.9938964501192648,399,28334,174,5560
0.64,0.6963350785340314,0.06695754321194831,0.12216778934476423,0.9938964501192648,399,28334,174,5560
0.65,0.6963350785340314,0.06695754321194831,0.12216778934476423,0.9938964501192648,399,28334,174,5560
0.66,0.6963350785340314,0.06695754321194831,0.12216778934476423,0.9938964501192648,399,28334,174,5560
0.67,0.6963350785340314,0.06695754321194831,0.12216778934476423,0.9938964501192648,399,28334,174,5560
0.68,0.6996047430830039,0.0594059405940594,0.10951276102088164,0.9946681633225761,354,28356,152,5605
0.69,0.7289156626506024,0.020305420372545728,0.03951020408163265,0.9984214957204995,121,28463,45,5838
0.7,0.7289156626506024,0.020305420372545728,0.03951020408163265,0.9984214957204995,121,28463,45,5838
0.71,0.7289156626506024,0.020305420372545728,0.03951020408163265,0.9984214957204995,121,28463,45,5838
